Item,ID,Ada,Adams,Bannock,BearLake,Benewah,Bingham,Blaine,Boise,Bonner,Bonneville,Boundary,Butte,Camas,Canyon,Caribou,Cassia,Clark,Clearwater,Custer,Elmore,Franklin,Fremont,Gem,Gooding,Idaho,Jefferson,Jerome,Kootenai,Latah,Lemhi,Lewis,Lincoln,Madison,Minidoka,NezPerce,Oneida,Owyhee,Payette,Power,Shoshone,Teton,TwinFalls,Valley,Washington,year
Total cropland Harvested cropland acres,4504676,49728,15071,87970,72873,63174,323495,42392,2372,20291,188632,40018,58114,72248,203531,143991,253403,38966,22884,33985,95241,88192,172151,27230,135535,150073,185347,144422,47018,189419,42242,139083,60873,139021,205240,155422,72502,121988,48588,191693,686,60946,240889,5829,51908,2012
irrigated land farms,15732,1082,148,480,307,17,993,164,49,103,644,56,172,47,2001,184,506,33,6,231,231,506,378,661,481,60,673,491,210,56,290,2,274,375,514,78,252,475,560,149,5,192,1142,72,382,2012
irrigated land acres,3365292,55254,19038,52557,54502,913,333434,41930,2390,1176,133620,2081,58675,20384,225310,66036,237831,29249,183,51571,89940,61169,124845,34165,141983,5011,175347,148950,13778,451,56665,(D),71429,122275,204534,778,34108,133530,56930,120949,(D),56386,256974,26217,42733,2012
"Market value of agricultural products sold, $1,000",7801446,220989,13549,54273,29506,23854,453267,38572,3059,10249,204176,27825,39299,21603,513723,88043,953728,35193,9748,26240,350583,106108,158629,42356,942815,80822,257156,617088,23690,87857,32152,62487,175618,131062,368924,81174,32466,291557,236243,238314,142,35818,599581,6631,75277,2012
Market value of agricultural products sold Average per farm dollars ,314372,179229,57902,66268,59850,87057,358314,207379,29136,14941,228640,75202,183641,189499,220388,201934,1427737,488791,38078,96471,1004535,127228,263941,51031,1581904,110564,331387,1101944,28750,83435,91862,289291,566509,277674,593125,188776,64545,504424,360677,773746,3939,123084,463354,56678,134663,2012
"Market value of agricultural products sold Crops, including nursery and greenhouse crops $1,000 ",3443012,44599,3401,36125,10447,23114,375047,27861,1216,6159,146529,23414,32391,18045,272381,67657,257636,26435,7276,8813,94142,24543,141967,16565,100806,62547,148544,145219,19848,83065,4842,59641,38316,123497,267963,72273,18851,93770,50270,203458,46,30042,216047,1209,36994,2012
"Market value of agricultural products sold  Livestock, poultry, and their products, $1,000.. ",4358435,176390,10148,18148,19059,740,78220,10711,1844,4090,57646,4410,6908,3558,241342,20387,696093,8758,2472,17427,256440,81565,16662,25791,842009,18275,108612,471870,3842,4792,27310,2846,137302,7565,100960,8900,13615,197787,185974,34856,95,5776,383533,5422,38283,2012
"Farms by value of sales: Less than $2,500 ",8969,547,95,406,143,147,423,37,43,328,363,117,49,52,849,157,158,17,138,98,121,301,240,341,149,242,225,116,462,586,128,76,66,126,166,146,204,117,213,133,19,117,280,51,177,2012
"Farms by value of sales: $2,500 to $4,999 ",2487,209,11,93,37,22,105,18,21,111,94,55,7,2,314,34,67,5,25,13,52,74,30,103,43,63,83,39,101,105,44,7,19,35,44,46,34,41,61,15,9,31,82,12,71,2012
"Farms by value of sales: $5,000 to $9,999 ",2367,146,30,79,53,24,149,14,10,81,80,46,6,1,261,20,52,2,27,24,33,83,46,100,47,81,70,36,100,81,22,9,26,56,56,40,51,34,97,10,4,15,113,11,41,2012
"Farms by value of sales: $10,000 to $24,999 ",2537,141,28,86,66,29,114,33,14,83,90,31,20,9,243,30,59,8,32,38,38,103,42,94,77,66,85,61,64,76,28,17,41,51,60,35,54,70,84,23,3,35,91,7,78,2012
"Farms by value of sales: $25,000 to $49,999 ",1842,60,32,52,62,14,84,6,3,52,58,41,25,14,174,39,46,5,10,18,21,71,56,74,46,53,61,59,43,39,19,9,33,43,36,31,47,54,53,13,1,22,109,5,49,2012
"Farms by value of sales: $50,000 to $99,999 ",1518,33,11,28,54,8,90,17,7,18,48,22,24,6,127,37,37,7,8,19,9,48,43,41,33,57,55,45,20,33,39,10,22,34,49,19,52,50,36,17,(D),17,141,18,29,2012
"Farms by value of sales: $100,000 or more ",5096,97,27,75,78,30,300,61,7,13,160,58,83,30,363,119,249,28,16,62,75,154,144,77,201,169,197,204,34,133,70,88,103,127,211,113,61,212,111,97,(D),54,478,13,114,2012
Government payments farms,9350,126,39,303,232,125,429,75,7,32,386,87,144,63,480,274,293,41,110,63,73,406,313,165,173,369,318,265,166,727,44,174,137,233,327,241,334,232,145,209,1,128,623,15,223,2012
Government payments 1000,99789,704,104,3067,1316,1516,5568,415,(D),96,5044,785,1539,406,2241,4068,5934,572,797,588,838,3420,3473,517,1873,5658,2332,1880,1075,8001,533,3763,1703,2678,2782,5030,3972,2041,652,6836,(D),1206,3657,62,1036,2012
Total income from farm-related sources farms,8513,297,96,199,140,99,449,77,27,186,285,139,103,52,656,183,282,25,83,95,101,287,231,202,239,328,270,223,186,435,86,128,138,191,256,193,141,217,192,150,(D),99,491,40,216,2012
Total income from farm-related sources 1000,218282,5262,1127,1768,721,2665,24607,1714,87,1252,3670,1011,996,1605,17622,5504,20076,186,1566,1355,6680,2159,4847,1501,9384,3053,4907,8332,1968,5355,497,2416,4141,3723,16943,4519,1700,7025,5111,12969,(D),1641,13065,908,2643,2012
"Total farm production expenses,  $1,000",6642131,207309,11248,50214,23859,20137,393443,30785,2933,11864,175566,24790,27325,18696,439846,76811,821687,27525,12670,21066,323749,84295,135704,40741,775268,57133,214402,500368,25157,72928,27055,42305,143332,114075,329699,67626,29705,241514,202752,223621,414,36103,495188,6978,54245,2012
"Total farm production expenses, Average per farm dollars ",267655,168134,48068,61311,48396,73494,311022,165509,27932,17295,196602,67001,127685,163999,188694,176173,1230071,382289,49494,77450,927648,101073,225796,49086,1300785,78157,276291,893514,30530,69258,77299,195856,462361,241683,530063,157270,59055,417845,309545,726041,11501,124066,382680,59644,97039,2012
Net cash farm income of the operations farms,24816,1233,234,819,493,274,1265,186,105,686,893,370,214,114,2331,436,668,72,256,272,349,834,601,830,596,731,776,560,824,1053,350,216,310,472,622,430,503,578,655,308,36,291,1294,117,559,2012
Net cash farm income of the operations 1000,1477387,19646,3532,8895,7684,7897,90000,9917,226,-268,37324,4830,14509,4917,93740,20804,158052,8426,-559,7117,34352,27392,31246,3633,178804,32400,49993,126932,1576,28285,6127,26361,38129,23388,58950,23096,8434,59109,39255,34499,-270,2561,121114,623,24711,2012
Net cash farm income of the operations Average per farm dollars,59534,15934,15093,10860,15586,28821,71146,53315,2155,-390,41796,13055,67801,43135,40215,47715,236604,117034,-2185,26165,98429,32844,51989,4378,300006,44322,64424,226665,1913,26861,17506,122041,122998,49552,94775,53712,16768,102264,59931,112009,-7513,8800,93596,5322,44205,2012
Operators by principal occupation: Farming ,12349,538,125,349,231,125,740,109,60,294,348,153,152,64,1062,241,375,44,89,144,166,363,314,401,310,379,341,354,396,456,170,118,179,218,352,224,229,391,341,195,12,123,715,55,304,2012
Operators by principal occupation: Other ,12467,695,109,470,262,149,525,77,45,392,545,217,62,50,1269,195,293,28,167,128,183,471,287,429,286,352,435,206,428,597,180,98,131,254,270,206,274,187,314,113,24,168,579,62,255,2012
Operators by days worked off farm: Any ,15343,775,128,502,314,161,763,114,67,451,644,261,111,62,1442,274,380,41,157,151,226,570,401,542,379,434,501,318,499,666,217,113,180,313,352,236,315,288,442,167,26,193,754,67,346,2012
Operators by days worked off farm: 200 days or more,9857,523,68,319,187,100,485,52,42,292,417,193,42,25,1026,168,254,27,80,103,145,416,257,339,262,279,359,201,279,404,122,64,117,186,276,162,200,186,276,91,14,120,471,43,185,2012
Livestock and poultry: Cattle and calves inventory farms ,10957,500,118,337,297,84,642,70,51,225,298,147,88,31,1140,179,322,43,108,137,168,390,249,459,336,388,353,264,321,207,188,68,181,163,267,167,228,336,306,97,15,93,591,51,254,2012
Livestock and poultry: Cattle and calves inventory number,2397541,124626,13875,23228,28200,1691,79635,9641,3160,4336,64716,5531,13089,5409,143569,23203,255384,10167,4202,25681,155964,40621,17975,42266,301981,32616,72986,214914,5234,6292,37714,4453,64699,11962,39174,12550,23093,162375,64345,27508,205,8665,168323,7643,34640,2012
Livestock and poultry: Beef cows farms ,8336,333,98,261,243,75,460,60,43,191,220,128,77,29,798,161,222,40,85,127,142,251,181,343,224,351,248,171,248,164,154,61,134,140,194,136,201,264,221,80,11,79,425,35,227,2012
Livestock and poultry: Beef cows number,485025,8984,5767,10311,17022,(D),24496,(D),2178,2254,19902,3084,(D),4234,16759,13609,24180,6168,1641,(D),19215,9319,9345,13235,11227,18558,16722,8475,3049,3198,26622,(D),9838,6476,4905,6731,(D),45660,9111,(D),115,3837,26762,3920,15205,2012
Livestock and poultry: Milk cows farms,934,50,(D),16,26,2,66,1,(D),14,9,13,3,(D),82,14,43,(D),5,2,9,89,19,34,64,16,32,41,27,15,14,2,29,6,24,9,2,35,34,3,(D),11,73,(D),(D),2012
Livestock and poultry: Milk cows number,578761,19915,(D),2071,1017,(D),8489,(D),(D),171,1061,177,(D),(D),38366,763,53842,(D),7,(D),21456,13857,808,1869,178661,25,12140,71680,50,104,69,(D),29848,166,13662,17,(D),26124,16103,(D),(D),224,63960,(D),(D),2012
Livestock and poultry: Cattle and calves sold farms,9157,412,103,313,278,59,552,61,49,162,261,112,74,21,874,157,291,45,90,116,129,332,194,360,280,329,311,233,213,187,170,56,157,150,227,133,188,301,249,85,12,76,508,46,201,2012
Livestock and poultry: Cattle and calves sold number,1838956,112233,10984,11921,16694,733,44825,6965,1793,1726,41527,2832,6165,4179,74421,15995,348636,8232,1402,14816,152674,18048,10362,20094,155874,17131,43194,190731,3249,3760,24720,2613,39005,6880,27246,6532,12755,126264,85464,22878,89,4381,101244,5166,32523,2012
Livestock and poultry: Hogs and pigs inventory farms ,680,32,4,16,25,14,37,2,(D),33,14,21,7,(D),50,7,18,(D),4,5,12,15,19,37,19,13,26,15,50,15,2,2,10,15,8,9,19,11,30,(D),(D),11,31,2,20,2012
Livestock and poultry: Hogs and pigs inventory number,(D),2991,10,143,206,50,589,(D),(D),139,185,131,59,(D),862,42,(D),(D),37,22,86,107,84,240,162,1354,231,132,1858,(D),(D),(D),1188,146,123,31,229,248,416,(D),(D),60,2413,(D),320,2012
Livestock and poultry: Hogs and pigs sold farms ,683,32,(D),17,24,9,48,2,(D),28,21,15,6,(D),50,5,20,(D),7,3,13,20,15,38,15,14,26,13,47,22,3,3,12,15,9,6,16,12,35,2,(D),12,34,2,12,2012
Livestock and poultry: Hogs and pigs sold number,144932,4063,(D),180,296,28,860,(D),(D),328,205,153,159,(D),3669,28,(D),(D),86,14,125,166,88,739,314,2798,197,99,(D),(D),(D),31,(D),129,121,30,187,295,571,(D),(D),72,(D),(D),405,2012
Livestock and poultry: Sheep and lambs inventory farms,1241,76,8,17,35,11,54,15,4,38,33,24,14,2,180,12,31,3,15,14,27,29,29,58,31,29,40,25,45,54,20,2,19,12,36,13,18,33,30,(D),(D),(D),72,4,29,2012
Livestock and poultry: Sheep and lambs inventory number,231078,1375,773,1807,5724,224,18408,(D),58,653,933,1280,1077,(D),(D),(D),12918,(D),498,509,461,686,(D),4303,14421,3753,22517,545,676,2114,552,(D),876,235,54966,1113,529,2424,790,(D),(D),(D),12261,90,7979,2012
Livestock and poultry: Chickens 3 months old or older inventory farms,3005,222,36,89,30,43,126,14,17,155,77,61,19,11,347,25,47,(D),48,39,54,80,74,133,62,76,88,51,157,122,41,9,33,46,49,60,48,64,101,14,7,30,105,12,83,2012
Livestock and poultry: Chickens 3 months old or older inventory number,655346,5936,360,3340,409,554,1903,413,654,3587,1098,1142,437,225,20907,366,(D),(D),531,494,1249,(D),994,2735,1250,1582,1532,1094,2923,1703,718,139,513,816,(D),1215,800,937,2959,256,237,781,1635,213,1152,2012
Livestock and poultry: Broilers and other meat-type chickens sold farms,202,16,2,6,3,2,12,(D),2,6,6,7,2,(D),34,1,2,(D),(D),1,3,7,3,15,3,3,1,5,17,9,3,(D),2,7,4,4,(D),(D),6,(D),(D),2,5,(D),1,2012
Livestock and poultry: Broilers and other meat-type chickens sold number,10053,654,(D),210,75,(D),467,(D),(D),479,286,220,(D),(D),1813,(D),(D),(D),(D),(D),700,150,48,619,20,19,(D),434,627,346,30,(D),(D),388,90,48,(D),(D),914,(D),(D),(D),(D),(D),(D),2012
Selected crops harvested: Corn for grain farms,965,52,1,(D),(D),(D),13,(D),(D),(D),5,(D),(D),1,250,(D),16,(D),(D),1,14,19,(D),52,70,(D),1,25,(D),(D),(D),(D),13,(D),5,(D),1,103,58,8,(D),(D),225,(D),32,2012
Selected crops harvested: Corn for grain acres,135010,5571,(D),(D),(D),(D),2473,(D),(D),(D),624,(D),(D),(D),29887,(D),1119,(D),(D),(D),8575,1066,(D),4148,14157,(D),(D),3942,(D),(D),(D),(D),3702,(D),1837,(D),(D),21055,7446,1844,(D),(D),20828,(D),3500,2012
Selected crops harvested: Corn for grain bushels,26226728,1117056,(D),(D),(D),(D),478749,(D),(D),(D),(D),(D),(D),(D),6155668,(D),181988,(D),(D),(D),1663021,163952,(D),808314,2732903,(D),(D),775295,(D),(D),(D),(D),684221,(D),367510,(D),(D),3994417,1482235,323510,(D),(D),3918365,(D),684377,2012
Selected crops harvested: Corn for silage or greenchop farms,1077,45,1,(D),(D),(D),31,(D),(D),(D),15,(D),2,4,139,3,54,2,(D),3,22,45,4,30,123,(D),26,112,(D),(D),(D),(D),55,3,22,(D),1,43,68,4,(D),(D),200,(D),20,2012
Selected crops harvested: Corn for silage or greenchop acres,232143,8032,(D),(D),(D),(D),4488,(D),(D),(D),1996,(D),(D),(D),20613,375,23057,(D),(D),190,8754,4506,248,1320,52382,(D),6210,24304,(D),(D),(D),(D),12348,136,7772,(D),(D),10759,7147,837,(D),(D),33885,(D),595,2012
Selected crops harvested: Corn for silage or greenchop tons,6320137,219780,(D),(D),(D),(D),122951,(D),(D),(D),43417,(D),(D),(D),622836,6871,570980,(D),(D),3040,244800,85189,5410,34423,1557878,(D),123698,652567,(D),(D),(D),(D),332034,1450,211792,(D),(D),315436,181060,25518,(D),(D),889356,(D),15351,2012
Selected crops harvested: Wheat for grain farms,3145,85,4,72,29,33,227,7,(D),7,100,40,23,8,275,81,136,11,20,2,36,113,96,66,41,162,105,86,24,165,1,93,26,98,101,106,82,84,64,94,(D),14,243,1,84,2012
Selected crops harvested: Wheat for grain acres,1250494,6954,(D),35191,8490,31802,145820,1700,(D),370,50313,13166,6089,2629,31640,36018,64038,8713,11659,(D),17022,19083,44683,2537,8456,80467,39846,11915,16144,97844,(D),85066,5689,43014,40107,82915,31056,9591,4813,112819,(D),6917,26415,(D),8076,2012
Selected crops harvested: Wheat for grain bushels,96837345,745929,(D),1628846,274552,2011625,15269685,96802,(D),12500,2907064,887087,586895,149524,3632254,1730728,5889623,805685,652957,(D),1545349,822026,3548650,231406,948075,5922408,3803515,1358511,1106336,6983268,(D),5804623,590194,3726458,3867031,5807539,822810,1045076,510127,6931778,(D),424523,3033050,(D),604170,2012
Selected crops harvested: Wheat for grain Winter wheat for grain farms,2222,60,3,51,5,28,151,(D),(D),(D),36,31,4,(D),250,58,105,1,14,(D),26,90,24,63,26,154,13,60,7,154,(D),88,11,8,60,101,42,76,60,77,(D),8,205,1,71,2012
Selected crops harvested: Wheat for grain Winter wheat for grain farms acres,738354,4971,48,19719,1409,25209,93977,(D),(D),(D),(D),10458,1169,(D),28421,16564,46823,(D),6759,(D),11595,15702,4511,2392,5339,58256,2493,8801,8674,73075,(D),70636,2017,2142,(D),66139,15253,8592,4341,62621,(D),2022,20334,(D),5925,2012
Selected crops harvested: Wheat for grain Winter wheat for grain farms bushels,59767034,549728,933,1127078,57679,1644067,9934333,(D),(D),(D),(D),718412,114697,(D),3315133,962110,4255365,(D),399413,(D),1144602,668276,292969,218083,587340,4617013,263079,1001799,632096,5545307,(D),4947590,239732,153124,(D),4880881,495482,954883,468121,3721221,(D),126290,2506310,(D),483593,2012
Selected crops harvested: Wheat for grain Other spring wheat for grain farms,1604,35,2,44,25,13,143,7,(D),7,78,19,20,8,57,41,57,11,16,2,13,38,83,10,16,90,99,29,20,94,1,45,20,92,63,47,61,20,9,65,(D),11,66,(D),27,2012
Selected crops harvested: Wheat for grain Other spring wheat for grain  acres,499623,1983,(D),15472,7081,5543,(D),1700,(D),370,34436,2708,4920,2629,3219,19454,(D),(D),4900,(D),5427,3381,40172,145,3117,22211,37353,3114,7470,24769,(D),14430,3672,34357,21299,16776,15803,(D),472,(D),(D),4895,6081,(D),2151,2012
Selected crops harvested: Wheat for grain Other spring wheat for grain  bushels,36302985,196201,(D),501768,216873,320308,5256946,96802,(D),12500,1918489,168675,472198,149524,317121,768618,(D),(D),253544,(D),400747,153750,3255681,13323,360735,1305395,3540436,356712,474240,1437961,(D),857033,350462,3080722,2089983,926658,327328,(D),42006,(D),(D),298233,526740,(D),120577,2012
Selected crops harvested: Wheat for grain Durum wheat for grain farms,17,(D),(D),(D),(D),3,4,(D),(D),(D),1,(D),(D),(D),(D),(D),2,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3,1,(D),(D),2,(D),1,(D),(D),(D),(D),(D),2012
Selected crops harvested: Wheat for grain Durum wheat for grain acres,12517,(D),(D),(D),(D),1050,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),6515,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2012
Selected crops harvested: Wheat for grain Durum wheat for grain bushels,767326,(D),(D),(D),(D),47250,78406,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),492612,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2012
Selected crops harvested: Oats for grain farms,265,5,2,10,14,12,11,(D),(D),10,3,5,8,2,14,13,4,3,2,(D),3,9,9,5,6,38,4,4,4,6,3,12,6,(D),(D),2,10,7,(D),(D),(D),8,3,3,5,2012
Selected crops harvested: Oats for grain acres,14899,70,(D),126,477,794,335,(D),(D),206,13,56,876,(D),741,2845,184,180,(D),(D),60,107,1018,105,183,2423,70,162,400,56,162,1054,246,(D),(D),(D),252,620,(D),(D),(D),709,83,120,45,2012
Selected crops harvested: Oats for grain  bushels,1078637,7163,(D),8220,24847,80613,28626,(D),(D),13000,1090,3894,85800,(D),108988,109196,19080,18000,(D),(D),6000,5375,59030,9000,9917,166677,5000,23454,30280,5090,4860,87504,24603,(D),(D),(D),13200,38600,(D),(D),(D),55144,8612,12000,1150,2012
Selected crops harvested: Barley for grain farms,2347,25,2,68,62,16,57,30,(D),5,174,27,60,30,49,81,82,8,9,7,2,129,146,14,23,105,158,81,6,71,9,52,31,134,119,49,42,17,9,11,(D),56,276,(D),15,2012
Selected crops harvested: Barley for grain acres,593469,1391,(D),10122,6200,2542,10641,15158,(D),(D),72280,2613,12522,16510,1395,64219,23764,4505,1618,912,(D),8865,63290,762,3125,13818,44961,21186,709,14460,762,11722,3914,46882,32132,11434,2178,1248,178,2579,(D),30616,30646,(D),643,2012
Selected crops harvested: Barley for grain bushels,51147054,155923,(D),487114,356388,184739,1172765,1672438,(D),2500,7064573,194578,1205337,492660,150615,3253446,2899466,270140,80912,79561,(D),625570,4882391,62257,373509,810676,4513651,2645142,66037,900660,65112,902517,483274,4010599,4035093,782162,110809,150299,(D),68879,(D),1844076,3950975,(D),47714,2012
Selected crops harvested: Sorghum for grain farms,3,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2,(D),(D),(D),(D),(D),(D),(D),2012
Selected crops harvested: Sorghum for grain acres,26,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2012
Selected crops harvested: Sorghum for grain bushels,2306,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2012
Selected crops harvested: Sorghum for silage or greenchop farms,8,(D),(D),(D),(D),(D),1,(D),(D),(D),(D),(D),(D),(D),1,(D),(D),(D),(D),(D),(D),(D),(D),1,2,(D),(D),(D),(D),(D),(D),(D),(D),(D),1,(D),(D),1,(D),(D),(D),(D),1,(D),(D),2012
Selected crops harvested: Sorghum for silage or greenchop acres,1117,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2012
Selected crops harvested: Sorghum for silage or greenchop tons,22046,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2012
Selected crops harvested: Soybeans for beans farms,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2012
Selected crops harvested: Soybeans for beans acres,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2012
Selected crops harvested: Soybeans for beans bushels,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2012
"Selected crops harvested: Dry edible beans, excluding dry limas farms",947,26,(D),(D),(D),1,2,(D),(D),(D),(D),3,(D),1,153,(D),53,(D),2,(D),11,5,(D),8,18,8,(D),93,4,64,(D),16,1,(D),46,57,(D),37,19,(D),(D),(D),308,(D),11,2012
"Selected crops harvested: Dry edible beans, excluding dry limas acres",140472,1803,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),12148,(D),8725,(D),(D),(D),1815,996,(D),427,2871,861,(D),9666,3200,24864,(D),6311,(D),(D),3809,26708,(D),3440,1800,(D),(D),(D),27885,(D),1540,2012
