Item,ID,Ada,Adams,Bannock,BearLake,Benewah,Bingham,Blaine,Boise,Bonner,Bonneville,Boundary,Butte,Camas,Canyon,Caribou,Cassia,Clark,Clearwater,Custer,Elmore,Franklin,Fremont,Gem,Gooding,Idaho,Jefferson,Jerome,Kootenai,Latah,Lemhi,Lewis,Lincoln,Madison,Minidoka,NezPerce,Oneida,Owyhee,Payette,Power,Shoshone,Teton,TwinFalls,Valley,Washington,year
Total cropland Harvested cropland acres,4225786,48215,10357,66601,54813,66881,295664,35579,1779,20228,193410,38719,47347,61022,169862,127301,256787,29945,22822,31541,94401,69794,132246,25088,118625,157301,206259,143104,45579,170106,36465,160995,54879,145224,188731,173938,78154,104443,41026,159076,264,67044,220543,4603,49025,2007
irrigated land farms,16124,1164,148,564,265,10,1115,141,43,124,663,64,158,29,2073,181,476,38,8,221,254,423,321,685,579,62,701,539,171,50,297,8,223,362,568,71,225,509,607,173,2,175,1136,93,405,2007
irrigated land acres,3299889,56973,24914,39296,38741,254,316933,43965,1982,2058,155991,2765,54475,16547,197322,68273,249848,32013,(D),55963,97857,49448,101849,35135,132641,1188,210328,150842,11035,310,76956,310,67994,128229,191585,560,38260,115171,54648,113983,(D),52613,244520,22136,43917,2007
"Market value of agricultural products sold, $1,000",5688765,153031,9128,34252,17304,20447,355134,26437,3484,10689,189277,30225,24977,10139,420928,55012,626721,30338,7950,17849,284628,78759,86176,30814,624420,51362,233052,461599,16383,60932,21298,43744,130974,107772,257039,58693,27564,206552,146454,164134,133,32959,471860,5148,42994,2007
Market value of agricultural products sold Average per farm dollars ,224418,115670,35379,36555,38886,70023,267420,136979,33183,15559,204402,81033,112507,97488,177757,121172,973170,374545,32988,68385,747055,106576,160776,37487,938978,67582,282146,764237,19834,55192,62274,194418,507650,239494,410606,124086,59533,333148,216009,488493,3400,110230,364090,35505,72380,2007
"Market value of agricultural products sold Crops, including nursery and greenhouse crops $1,000 ",2324789,45029,984,20554,2775,19618,261076,13856,2623,6672,110833,27654,16135,8345,174070,34457,175387,22936,5670,4520,72016,15925,75739,12308,51369,36740,124434,94362,12310,57460,1401,40551,21214,101761,180033,54579,17730,52262,28523,132807,18,28699,140497,528,18328,2007
"Market value of agricultural products sold  Livestock, poultry, and their products, $1,000.. ",3363976,108002,8144,13698,14529,828,94059,12581,861,4017,78444,2572,8841,1794,246858,20555,451334,7402,2280,13328,212612,62835,10437,18507,573051,14622,108619,367237,4072,3472,19896,3193,109760,6012,77006,4114,9834,154289,117930,31327,115,4260,331363,4620,24666,2007
"Farms by value of sales: Less than $2,500 ",10772,648,129,565,194,183,511,61,65,410,429,144,78,47,1000,210,191,29,135,105,159,300,234,392,171,320,262,156,497,737,139,80,57,139,166,241,221,179,261,153,27,134,335,68,210,2007
"Farms by value of sales: $2,500 to $4,999 ",2192,210,26,83,31,31,100,14,10,61,67,32,9,7,287,14,31,4,32,20,43,59,41,93,46,61,59,59,90,68,26,6,11,43,55,34,25,46,59,17,3,17,97,13,52,2007
"Farms by value of sales: $5,000 to $9,999 ",2281,157,23,78,38,18,141,28,8,81,88,54,7,6,245,35,43,4,18,19,46,59,33,71,63,53,92,39,84,59,33,8,33,30,58,23,35,50,92,13,7,25,91,11,82,2007
"Farms by value of sales: $10,000 to $24,999 ",2617,132,20,88,61,16,128,16,9,67,86,59,28,8,296,30,64,4,23,24,31,97,43,107,91,83,106,55,71,64,36,14,29,54,65,29,45,55,90,22,1,34,143,12,81,2007
"Farms by value of sales: $25,000 to $49,999 ",1666,52,16,37,48,12,86,14,2,35,70,24,25,8,148,28,44,2,11,26,14,56,49,58,53,57,65,37,29,30,21,16,28,39,40,26,35,54,38,16,1,26,133,13,44,2007
"Farms by value of sales: $50,000 to $99,999 ",1505,37,20,28,30,6,89,13,5,16,64,13,26,12,106,33,47,10,3,25,17,53,35,34,59,59,42,53,25,31,30,16,22,30,29,23,39,57,50,19,-,19,127,12,41,2007
"Farms by value of sales: $100,000 or more ",4316,87,24,58,43,26,273,47,6,17,122,47,49,16,286,104,224,28,19,42,71,115,101,67,182,127,200,205,30,115,57,85,78,115,213,97,63,179,88,96,-,44,370,16,84,2007
Government payments farms,9214,149,41,296,220,121,391,72,7,26,435,66,127,61,465,298,252,38,112,46,67,362,299,194,158,398,326,245,144,798,44,173,129,233,321,254,324,201,157,241,-,133,559,14,217,2007
Government payments 1000,99494,667,268,3878,1604,1415,7108,478,63,70,5520,942,1460,413,1668,4178,5062,727,978,685,886,2456,3524,571,1567,6634,2632,1710,869,6396,828,3920,1034,2824,3011,5013,4149,1258,462,8045,-,1016,2585,43,878,2007
Total income from farm-related sources farms,7717,263,87,160,124,75,421,62,20,175,245,102,76,35,566,187,231,29,80,69,102,210,193,185,261,339,273,225,175,403,90,147,116,157,239,201,104,168,201,147,6,88,433,58,189,2007
Total income from farm-related sources 1000,177542,3320,762,1448,636,1755,20785,1027,317,2235,4672,996,905,880,10771,4922,13527,1281,1061,3385,4826,2023,4476,1727,8811,3828,5335,5560,2781,4550,673,4479,2368,2432,9237,9122,803,4882,3697,5974,41,2461,10270,460,2040,2007
"Total farm production expenses,  $1,000",4604040,129821,9050,31552,14806,16096,294930,24670,3175,14102,147149,26382,19645,9457,349705,45666,500494,23659,9039,15112,245545,58960,73576,30263,480727,41918,167301,371767,19944,51052,19008,35862,91583,94586,206424,51044,20695,155577,140018,136314,465,28833,355766,5045,37257,2007
"Total farm production expenses, Average per farm dollars ",181626,98126,35079,33673,33273,55124,222086,127826,30239,20526,158908,70729,88489,90930,147680,100586,777164,292089,37504,57900,644474,79784,137268,36817,722898,55155,202544,615508,24146,46243,55579,159386,354972,210191,329751,107916,44699,250930,206516,405696,11928,96432,274510,34792,62723,2007
Net cash farm income of the operations farms,25349,1323,258,937,445,292,1328,193,105,687,926,373,222,104,2368,454,644,81,241,261,381,739,536,822,665,760,826,604,826,1104,342,225,258,450,626,473,463,620,678,336,39,299,1296,145,594,2007
Net cash farm income of the operations 1000,1361761,27197,1107,8025,4738,7521,88097,3272,689,-1107,52320,5782,7696,1976,83662,18446,144816,8687,950,6806,44796,24278,20600,2848,154072,19906,73719,97102,89,20825,3791,16281,42792,18443,62863,21784,11820,57115,10596,41839,-291,7602,128949,606,8655,2007
Net cash farm income of the operations Average per farm dollars,53720,20557,4290,8565,10646,25757,66338,16953,6560,-1612,56501,15500,34668,18997,35330,40631,224870,107245,3944,26078,117574,32852,38432,3465,231687,26193,89248,160765,108,18863,11085,72359,165862,40984,100420,46055,25530,92122,15628,124522,-7469,25426,99498,4183,14571,2007
Operators by principal occupation: Farming ,11579,419,132,334,171,115,632,87,42,327,346,176,115,46,959,228,347,44,106,134,168,310,262,394,380,391,371,326,330,405,196,138,158,226,334,241,182,353,292,170,17,129,700,68,278,2007
Operators by principal occupation: Other ,13770,904,126,603,274,177,696,106,63,360,580,197,107,58,1409,226,297,37,135,127,213,429,274,428,285,369,455,278,496,699,146,87,100,224,292,232,281,267,386,166,22,170,596,77,316,2007
Operators by days worked off farm: Any ,17179,985,159,646,307,176,919,134,75,448,638,271,158,81,1707,281,433,44,162,182,276,529,377,571,416,496,568,392,564,748,222,133,151,316,402,285,322,390,478,202,24,218,819,92,382,2007
Operators by days worked off farm: 200 days or more,10332,622,80,374,201,101,612,72,45,246,353,162,69,41,1179,147,293,28,71,76,184,340,210,331,257,245,349,242,320,409,115,76,96,181,237,153,190,248,314,114,14,129,531,39,236,2007
Livestock and poultry: Cattle and calves inventory farms ,10621,518,132,370,207,86,648,78,39,219,313,129,91,23,1137,146,309,33,99,127,182,310,171,390,392,350,403,305,269,182,176,63,150,154,284,148,178,367,302,101,9,99,619,57,256,2007
Livestock and poultry: Cattle and calves inventory number,2236147,66476,12718,24302,26525,2249,93961,15742,2284,4650,69657,4884,13722,5225,129561,22991,231082,9074,3496,26065,109065,34988,13356,22738,281912,26906,78762,219553,4859,6843,37988,4885,69863,11297,46917,9638,17872,146372,62693,29549,62,8361,172759,6569,47676,2007
Livestock and poultry: Beef cows farms ,7365,327,103,253,162,69,426,64,34,176,214,112,70,23,734,105,186,27,83,103,127,179,128,262,202,276,277,151,207,145,156,51,101,131,169,108,147,268,201,80,4,84,409,40,191,2007
Livestock and poultry: Beef cows number,476292,10065,6175,10906,14767,1283,27341,8042,(D),2561,19321,(D),(D),3938,13908,12820,27147,5987,(D),(D),23094,8002,6641,10939,11035,14934,17824,10231,(D),(D),26265,2754,8701,(D),5160,(D),11770,36586,9095,(D),30,4154,25898,3024,(D),2007
Livestock and poultry: Milk cows farms,811,32,-,17,18,-,51,-,2,10,11,8,3,-,84,17,42,-,1,2,9,64,7,20,85,13,34,54,1,6,4,-,37,4,24,1,4,29,23,2,-,9,78,-,5,2007
Livestock and poultry: Milk cows number,536463,18385,-,838,1035,-,9748,-,(D),95,622,(D),(D),-,41478,1375,53845,-,(D),(D),17316,12024,345,1902,140371,175,13764,76123,(D),(D),297,-,26675,(D),10391,(D),239,23190,13732,(D),-,428,70256,-,(D),2007
Livestock and poultry: Cattle and calves sold farms,9662,489,123,358,193,63,597,73,31,192,280,95,85,13,952,141,287,37,89,119,143,305,169,352,365,329,364,289,243,157,158,60,131,164,286,132,174,322,265,95,11,87,552,61,231,2007
Livestock and poultry: Cattle and calves sold number,1829456,65584,11007,16546,15438,1415,73897,13700,1442,3149,73250,2644,8307,2714,113967,18482,243566,9703,1654,17088,155901,15914,10756,17341,138148,18908,61466,191233,3028,4067,25403,3657,26541,10754,36481,5688,11983,134732,88654,29920,48,4911,107955,5635,26779,2007
Livestock and poultry: Hogs and pigs inventory farms ,657,25,5,44,13,6,36,3,-,38,19,16,5,-,81,5,21,-,2,7,4,23,21,25,20,14,13,11,43,5,6,1,11,11,12,3,10,16,18,4,-,9,34,3,14,2007
Livestock and poultry: Hogs and pigs inventory number,32794,1837,41,306,211,68,608,11,-,256,159,354,58,-,1534,43,(D),-,(D),99,56,628,191,74,160,222,75,282,(D),14,41,(D),(D),77,173,8,89,149,332,32,-,40,(D),18,300,2007
Livestock and poultry: Hogs and pigs sold farms ,728,33,9,30,15,8,41,5,1,36,18,19,5,6,79,6,15,-,6,7,3,19,14,29,28,23,14,15,44,14,16,1,8,11,10,5,15,17,28,5,-,9,45,6,10,2007
Livestock and poultry: Hogs and pigs sold number,65618,5196,100,268,329,84,1283,22,(D),366,156,767,145,18,(D),137,(D),-,43,89,(D),472,400,353,171,1623,104,1090,2554,87,183,(D),(D),88,142,18,111,833,1409,15,-,31,(D),45,725,2007
Livestock and poultry: Sheep and lambs inventory farms,1210,66,14,36,18,6,79,13,1,55,39,17,10,-,144,8,30,2,6,10,39,16,19,68,32,32,42,23,51,49,14,-,12,12,29,9,12,42,40,-,-,8,63,10,34,2007
Livestock and poultry: Sheep and lambs inventory number,229022,1806,609,1143,6066,79,13879,13789,(D),1049,3963,671,6965,-,19627,(D),13250,(D),76,481,717,961,(D),6138,(D),2252,21895,1081,574,3233,1036,-,544,411,29631,295,602,5228,1289,-,-,238,14007,120,15532,2007
Livestock and poultry: Chickens 3 months old or older inventory farms,1610,116,13,61,7,22,71,5,15,79,49,35,10,3,202,12,22,1,14,10,41,37,14,61,27,57,36,30,103,82,21,6,16,14,37,37,20,36,48,7,5,7,68,10,43,2007
Livestock and poultry: Chickens 3 months old or older inventory number,(D),1948,206,690,165,323,899,67,144,1609,685,807,95,57,6737,180,236,(D),204,218,654,(D),221,911,459,718,612,298,1102,973,348,99,301,329,(D),377,340,687,887,117,67,305,982,196,400,2007
Livestock and poultry: Broilers and other meat-type chickens sold farms,125,6,-,1,-,1,6,-,2,6,3,10,-,-,9,-,1,-,-,-,1,8,1,14,-,-,1,1,7,13,-,-,-,-,1,7,1,-,5,-,-,5,10,2,3,2007
Livestock and poultry: Broilers and other meat-type chickens sold number,7937,570,-,(D),-,(D),391,-,(D),259,90,212,-,-,1170,-,(D),-,-,-,(D),25,(D),728,-,-,(D),(D),736,1011,-,-,-,-,(D),611,(D),-,100,-,-,150,971,(D),(D),2007
Selected crops harvested: Corn for grain farms,691,22,-,-,-,-,8,-,-,-,11,-,-,-,160,-,12,-,-,-,15,8,11,47,53,-,9,29,-,2,-,-,10,3,12,-,-,73,40,8,-,-,130,-,28,2007
Selected crops harvested: Corn for grain acres,104570,2537,-,-,-,-,1560,-,-,-,1905,-,-,-,20301,-,2507,-,-,-,5847,644,1278,3158,12178,-,4439,3763,-,(D),-,-,2772,(D),6711,-,-,11600,3808,4434,-,-,13461,-,1382,2007
Selected crops harvested: Corn for grain bushels,17752526,489128,-,-,-,-,304650,-,-,-,247228,-,-,-,3725465,-,328461,-,-,-,1015825,103512,193260,537522,1979872,-,694514,622501,-,(D),-,-,444192,(D),1113811,-,-,2100889,701392,699866,-,-,2203349,-,213898,2007
Selected crops harvested: Corn for silage or greenchop farms,1115,53,2,2,-,-,30,-,-,-,27,-,1,-,124,2,60,1,-,-,15,33,5,34,125,-,42,116,1,-,-,-,36,1,24,-,2,61,51,4,-,-,238,-,25,2007
Selected crops harvested: Corn for silage or greenchop acres,211748,7829,(D),(D),-,-,3846,-,-,-,4200,-,(D),-,16206,(D),20399,(D),-,-,6126,2443,585,2129,45065,-,8898,28172,(D),-,-,-,7459,(D),5663,-,(D),9264,5161,1210,-,-,34690,-,1028,2007
Selected crops harvested: Corn for silage or greenchop tons,5695090,217654,(D),(D),-,-,106805,-,-,-,101153,-,(D),-,430850,(D),512859,(D),-,-,183593,58585,11793,52750,1309343,-,217594,762759,(D),-,-,-,212551,(D),152131,-,(D),263939,129561,30680,-,-,878424,-,29638,2007
Selected crops harvested: Wheat for grain farms,2850,58,1,65,15,31,191,2,-,2,104,31,10,2,207,75,133,8,23,2,19,107,80,51,24,171,113,95,32,142,2,104,23,100,107,120,69,52,62,100,-,22,218,-,77,2007
Selected crops harvested: Wheat for grain acres,1191086,4576,(D),30522,5063,35996,118896,(D),-,(D),51322,16063,2288,(D),23208,41059,72640,5382,11123,(D),10058,18450,33689,3001,2845,86889,36831,11703,9585,91834,(D),98866,8154,40932,35770,106270,31502,6828,5346,88231,-,11673,24464,-,7705,2007
Selected crops harvested: Wheat for grain bushels,84614401,491491,(D),1303908,74758,2257031,12369771,(D),-,(D),2909716,1096223,205263,(D),2519780,1712559,6402127,505137,553002,(D),863248,709034,2226929,325827,299710,5151115,3614207,1294056,626910,6279048,(D),4881944,732722,3344649,3656390,6581267,864097,708486,517287,5746383,-,426508,2651024,-,614617,2007
Selected crops harvested: Wheat for grain Winter wheat for grain farms,2059,40,1,54,5,31,133,-,-,2,37,23,-,1,175,61,110,1,20,-,12,98,14,51,18,162,16,61,25,124,1,98,12,13,51,115,56,44,59,81,-,14,180,-,60,2007
Selected crops harvested: Wheat for grain Winter wheat for grain farms acres,729704,3764,(D),18838,298,29635,73434,-,-,(D),(D),10813,-,(D),19810,21881,54893,(D),7315,-,6571,16354,2284,3001,1876,63581,(D),7500,7774,66954,(D),82290,2387,(D),12774,84985,22282,4654,4894,48716,-,2514,19470,-,5565,2007
Selected crops harvested: Wheat for grain Winter wheat for grain farms bushels,52991573,428517,(D),868582,6750,1965134,7721590,-,-,(D),(D),853399,-,(D),2214377,1043346,4799829,(D),416952,-,603809,655018,175432,325827,204517,4177567,(D),856272,512633,4995023,(D),4289083,257228,(D),1344612,5668398,646203,517489,474335,2838952,-,138194,2217831,-,466958,2007
Selected crops harvested: Wheat for grain Other spring wheat for grain farms,1423,21,1,29,11,17,115,2,-,-,83,23,10,1,44,32,52,8,14,2,8,23,70,-,7,81,105,49,10,86,1,50,17,97,79,63,34,12,6,70,-,12,54,-,24,2007
Selected crops harvested: Wheat for grain Other spring wheat for grain  acres,446897,812,(D),11684,4765,6361,44034,(D),-,-,34526,5250,2288,(D),3398,19178,15317,(D),3808,(D),3487,2096,30431,-,969,23308,31650,4203,1811,24880,(D),16576,3916,37210,22117,21285,9220,2174,452,36954,-,9159,(D),-,2140,2007
Selected crops harvested: Wheat for grain Other spring wheat for grain  bushels,30456106,62974,(D),435326,68008,291897,4500120,(D),-,-,2196831,242824,205263,(D),305403,669213,1422298,(D),136050,(D),259439,54016,1958218,-,95193,973548,3141645,437784,114277,1284025,(D),592861,370494,3075507,2227668,912869,217894,190997,42952,2629674,-,288314,(D),-,147659,2007
Selected crops harvested: Wheat for grain Durum wheat for grain farms,32,-,-,-,-,-,6,-,-,-,1,-,-,-,-,-,3,-,-,-,-,-,3,-,-,-,2,-,-,-,-,-,3,2,4,-,-,-,-,7,-,-,1,-,-,2007
Selected crops harvested: Wheat for grain Durum wheat for grain acres,14485,-,-,-,-,-,1428,-,-,-,(D),-,-,-,-,-,2430,-,-,-,-,-,974,-,-,-,(D),-,-,-,-,-,1851,(D),879,-,-,-,-,2561,-,-,(D),-,-,2007
Selected crops harvested: Wheat for grain Durum wheat for grain bushels,1166722,-,-,-,-,-,148061,-,-,-,(D),-,-,-,-,-,180000,-,-,-,-,-,93279,-,-,-,(D),-,-,-,-,-,105000,(D),84110,-,-,-,-,277757,-,-,(D),-,-,2007
Selected crops harvested: Oats for grain farms,298,8,1,7,4,13,11,-,-,10,5,6,2,-,15,8,3,-,4,2,1,12,7,17,8,30,16,-,13,3,4,34,7,1,5,7,7,10,3,1,-,1,4,3,5,2007
Selected crops harvested: Oats for grain acres,19629,72,(D),161,180,960,282,-,-,86,210,188,(D),-,312,548,211,-,107,(D),(D),428,215,385,405,2820,900,-,1065,45,147,6574,162,(D),114,173,769,196,35,(D),-,(D),366,(D),115,2007
Selected crops harvested: Oats for grain  bushels,1178663,7591,(D),9327,7800,44105,18864,-,-,4320,5900,11900,(D),-,27134,30000,21930,-,3900,(D),(D),25864,12520,37075,39180,143754,54088,-,60705,2083,8963,343099,11000,(D),15820,8350,61164,22000,3479,(D),-,(D),30360,(D),7108,2007
Selected crops harvested: Barley for grain farms,2146,20,1,44,52,17,60,19,-,-,147,15,44,26,55,84,82,6,10,7,5,82,111,8,26,114,147,91,11,87,2,66,21,110,121,68,25,20,4,7,-,65,251,-,15,2007
Selected crops harvested: Barley for grain acres,547928,1063,(D),5656,3996,4414,13980,7990,-,-,64111,3352,9238,13435,2627,53578,28785,2163,1094,691,2281,5573,54392,561,2141,18374,40641,14336,1022,11659,(D),17739,3023,51026,30078,15037,3002,1917,(D),1280,-,32774,23235,-,1249,2007
Selected crops harvested: Barley for grain bushels,42464856,112610,(D),279822,160015,273380,1463881,814653,-,-,6291040,231407,888942,324692,285043,2021690,3300219,217924,36049,60150,227869,344085,3385849,34484,210090,876334,4059204,1737199,58847,692235,(D),920896,347429,3790009,3500595,811464,93583,178870,(D),126235,-,1505680,2689877,-,85670,2007
Selected crops harvested: Sorghum for silage or greenchop farms,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2007
Selected crops harvested: Sorghum for silage or greenchop acres,170,-,-,-,-,-,-,-,-,-,(D),-,-,-,-,-,-,-,-,-,-,(D),-,-,-,-,-,-,-,-,-,-,-,-,(D),-,-,-,-,-,-,-,-,-,-,2007
Selected crops harvested: Sorghum for silage or greenchop tons,2070,-,-,-,-,-,-,-,-,-,(D),-,-,-,-,-,-,-,-,-,-,(D),-,-,-,-,-,-,-,-,-,-,-,-,(D),-,-,-,-,-,-,-,-,-,-,2007
"Selected crops harvested:  Dry edible beans, excluding chickpeas and limas farms",641,8,-,-,-,-,1,-,-,-,-,5,-,-,63,-,37,-,6,-,5,1,-,-,15,-,-,67,-,46,-,6,2,-,43,59,-,25,5,-,-,-,243,-,4,2007
"Selected crops harvested:  Dry edible beans, excluding chickpeas and limas acres",88987,617,-,-,-,-,(D),-,-,-,-,448,-,-,5070,-,6441,-,1399,-,626,(D),-,-,2395,-,-,7380,-,12892,-,1273,(D),-,5017,23540,-,2224,205,-,-,-,18699,-,396,2007
"Selected crops harvested:  Dry edible beans, excluding chickpeas and limas cwt",1646970,12777,-,-,-,-,(D),-,-,-,-,6160,-,-,121787,-,169651,-,11937,-,15956,(D),-,-,51186,-,-,179632,-,152443,-,9733,(D),-,114869,248930,-,48875,5345,-,-,-,477690,-,12559,2007
"Selected crops harvested:  Forage - land used for all hay and haylage, grass silage, and greenchop farms",11159,593,109,317,266,105,514,115,28,306,390,153,116,58,1000,151,297,23,107,142,184,379,211,335,320,387,454,311,282,305,193,90,154,200,290,126,216,355,323,103,8,141,645,59,298,2007
"Selected crops harvested:  Forage - land used for all hay and haylage, grass silage, and greenchop acres",1316296,24198,10164,26635,45742,6969,61510,25104,1627,19003,44422,11438,35111,46166,45685,25502,66591,18303,7753,29143,47417,37294,18632,14152,42781,38875,86006,56897,16430,19676,35764,7975,25521,16042,30515,8541,38281,65669,18137,10933,178,15917,74863,4419,34315,2007
"Selected crops harvested:  Forage - land used for all hay and haylage, grass silage, and greenchop tons, dry equivalent",5198288,110604,17358,65772,69166,10057,290529,85942,4978,25075,171727,29626,133345,48109,249289,61434,340713,88558,11027,79249,227863,122362,59733,54773,321791,60155,415633,329305,28761,35477,82076,17156,124890,61034,174489,17335,113052,331152,88079,34715,226,29415,469451,7505,99301,2007
"Selected crops harvested:  Sunflower seed, all farms",1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2007
"Selected crops harvested:  Sunflower seed, all acres",(D),-,-,-,-,-,-,-,-,-,-,-,-,-,(D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2007
"Selected crops harvested:  Sunflower seed, all pounds",(D),-,-,-,-,-,-,-,-,-,-,-,-,-,(D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2007
Selected crops harvested: Sugar beets for sugar farms,507,10,-,-,-,-,41,-,-,-,-,-,-,-,56,-,79,-,-,-,12,-,-,2,15,-,-,48,-,-,-,-,20,-,104,-,-,13,12,30,-,-,47,-,18,2007
Selected crops harvested: Sugar beets for sugar acres,163598,1976,-,-,-,-,20022,-,-,-,-,-,-,-,8729,-,28751,-,-,-,10418,-,-,(D),1902,-,-,10475,-,-,-,-,6416,-,44304,-,-,2401,1367,15331,-,-,10045,-,(D),2007
Selected crops harvested: Sugar beets for sugar tons,5631170,66363,-,-,-,-,716728,-,-,-,-,-,-,-,326651,-,1004846,-,-,-,386247,-,-,(D),64385,-,-,360797,-,-,-,-,204301,-,1454168,-,-,83739,48987,539546,-,-,326264,-,(D),2007
Selected crops harvested: Vegetables harvested for sale farms,1137,39,2,18,1,-,127,10,2,7,45,7,2,1,110,14,59,3,2,4,21,5,60,10,38,9,46,31,19,15,2,-,4,82,51,5,3,24,36,35,-,14,148,6,20,2007
Selected crops harvested: Vegetables harvested for sale acres,377062,992,(D),3591,(D),-,75490,1377,(D),4,27245,10,(D),(D),15677,6284,29174,(D),(D),(D),9569,511,21732,28,8923,14,28933,10418,142,9,(D),-,1227,36664,30048,8,(D),2070,3028,35151,-,7000,14957,15,1428,2007
Selected crops harvested: Vegetables harvested for sale Potatoes farms,703,9,2,8,-,-,118,1,-,2,40,3,2,-,45,14,56,3,-,3,12,3,59,-,15,1,37,28,4,1,1,-,4,81,48,3,1,13,10,33,-,12,28,3,-,2007
