Item,ID,Ada,Adams,Bannock,BearLake,Benewah,Bingham,Blaine,Boise,Bonner,Bonneville,Boundary,Butte,Camas,Canyon,Caribou,Cassia,Clark,Clearwater,Custer,Elmore,Franklin,Fremont,Gem,Gooding,Idaho,Jefferson,Jerome,Kootenai,Latah,Lemhi,Lewis,Lincoln,Madison,Minidoka,NezPerce,Oneida,Owyhee,Payette,Power,Shoshone,Teton,TwinFalls,Valley,Washington,year
Farms by size:500 to 999 acres ,1606,17,23,51,54,24,79,18,3,32,57,24,14,18,87,57,30,14,10,38,19,66,51,17,28,55,50,45,31,37,42,26,41,43,58,33,52,44,30,44,-,28,74,15,27,2017
"Farms by size:1,000 acres or more ",2433,27,32,68,57,25,161,44,7,7,93,16,51,41,59,97,148,26,12,32,48,60,50,29,41,121,75,38,22,95,31,55,36,49,56,108,97,86,20,116,-,34,71,12,80,2017
Total cropland farms,17338,888,137,489,314,220,728,148,46,861,805,247,164,132,1445,321,415,36,221,189,190,571,385,521,348,516,536,342,702,802,230,167,215,341,429,329,349,384,389,239,27,229,836,71,384,2017
Total cropland acres,5894676,62860,16912,181486,108279,82097,397718,52106,1740,32849,260589,44491,78610,98550,219414,217111,385007,40726,24789,49688,148873,132085,171002,28323,125264,180642,228278,134555,62242,254711,46419,151108,84910,159995,242569,233792,151329,137780,57361,381427,633,84385,257344,4276,80351,2017
Total cropland Harvested cropland farms ,15028,819,123,382,261,162,661,134,43,741,662,220,154,110,1257,248,375,31,179,175,170,501,309,470,327,424,505,323,559,590,220,118,198,324,408,265,269,354,360,162,27,189,806,61,352,2017
Total cropland Harvested cropland acres,4576077,58686,15340,75400,82328,61303,345521,38259,907,23371,172674,35783,69677,83657,202479,148487,287172,34733,17646,36804,122869,89591,143429,23549,119358,109775,202560,129291,45556,204762,40269,111209,74119,141626,228396,196219,64659,116686,52722,213797,518,67299,233511,3494,50586,2017
irrigated land farms,15597,1136,133,448,245,22,925,154,55,181,842,49,158,59,2000,202,466,35,18,217,206,516,356,701,423,66,650,420,236,48,304,2,227,378,543,91,235,467,538,146,10,189,1052,92,356,2017
irrigated land acres,3398266,57263,22209,39973,54677,219,333894,37293,1311,1191,131619,2290,69359,27412,213410,61146,259331,31603,(D),60089,113157,65276,101916,29919,121765,2673,198301,134860,13659,158,72204,(D),77324,125913,232707,1091,25738,119002,59150,147746,69,48896,241479,22112,38818,2017
"Market value of agricultural products sold, $1,000",7567439,131621,12599,37807,36514,19111,453144,27153,2586,10196,167862,30800,42179,24687,574757,90320,926720,25861,7328,36437,429916,82782,138212,39182,783388,43676,294557,639583,21522,77972,33281,37782,203088,157018,354449,74318,36234,273377,167400,235442,215,45339,680238,10541,50246,2017
Market value of agricultural products sold Average per farm dollars ,302746,100936,54305,49944,92441,66357,385000,142908,28737,8406,151363,88506,223167,163491,251095,219756,1584136,380308,23487,136469,1264460,105186,269418,45560,1456112,61690,392742,1316015,20057,74901,94818,191788,735827,345854,571692,166631,85864,483852,261562,798108,4489,163679,561716,56069,93918,2017
"Market value of agricultural products sold Crops, including nursery and greenhouse crops $1,000 ",3210834,42835,3198,21466,17492,18464,352322,16669,1547,6142,110833,26927,35667,20470,314467,56207,255319,19233,3431,8624,119343,25772,117099,15510,72860,23938,172865,121144,17427,73549,5516,34096,42662,146382,260145,60493,16261,61775,50198,210861,65,40979,168671,922,20991,2017
"Market value of agricultural products sold  Livestock, poultry, and their products, $1,000.. ",4356606,88786,9401,16341,19023,647,100822,10483,1039,4054,57029,3874,6512,4217,260290,34113,671401,6628,3897,27813,310574,57010,21113,23672,710529,19738,121692,518440,4094,4422,27765,3686,160427,10636,94304,13825,19973,211601,117202,24581,150,4360,511567,9619,29255,2017
"Farms by value of sales: Less than $2,500 ",10205,692,101,345,101,164,397,57,49,832,549,129,31,53,956,130,176,20,192,71,140,252,175,398,117,284,232,131,676,619,128,77,65,132,154,191,149,137,235,125,29,91,340,78,205,2017
"Farms by value of sales: $2,500 to $4,999 ",2475,199,18,71,35,24,114,18,8,149,108,40,11,9,313,19,43,1,33,18,38,102,37,116,51,51,67,37,119,91,28,4,16,28,56,41,21,44,91,4,3,19,108,19,53,2017
"Farms by value of sales: $5,000 to $9,999 ",2358,139,23,87,45,25,113,14,10,83,96,33,14,7,295,37,44,5,27,24,32,69,46,109,55,37,93,34,108,102,32,13,24,50,49,27,41,48,62,15,9,23,95,16,48,2017
"Farms by value of sales: $10,000 to $24,999 ",2452,127,24,103,53,22,109,24,9,78,108,51,26,22,212,31,36,7,30,27,34,94,43,85,67,101,80,56,86,64,28,15,24,35,50,38,61,82,92,19,6,31,98,25,39,2017
"Farms by value of sales: $25,000 to $49,999 ",1538,51,22,48,48,5,65,20,7,27,59,30,17,4,121,24,25,5,12,22,16,83,32,55,46,70,53,20,38,23,34,7,23,31,54,21,42,32,30,21,1,32,97,21,44,2017
"Farms by value of sales: $50,000 to $99,999 ",1381,23,14,31,32,13,88,9,2,23,59,19,22,12,97,49,45,3,5,31,8,58,42,36,33,53,47,31,18,27,28,10,28,38,41,16,39,31,17,10,-,20,115,14,44,2017
"Farms by value of sales: $100,000 or more ",4587,73,30,72,81,35,291,48,5,21,130,46,68,44,295,121,216,27,13,74,72,129,138,61,169,112,178,177,28,115,73,71,96,140,216,112,69,191,113,101,-,61,358,15,102,2017
Government payments farms,6083,58,18,257,148,99,292,39,3,35,248,58,100,64,183,217,226,38,57,35,39,312,199,94,89,258,183,163,106,369,35,138,99,177,249,192,233,121,77,175,-,80,360,8,152,2017
Government payments 1000,129605,471,93,5606,1549,1931,13317,800,6,224,7179,1129,1877,826,2463,3905,11088,1490,639,343,684,2730,4130,834,2416,3060,4603,2050,1211,7066,295,2929,1163,3919,4319,7319,5063,2365,900,10617,-,865,4456,84,1591,2017
Total income from farm-related sources farms,8879,293,77,183,124,121,484,86,25,303,345,116,102,62,646,168,270,32,92,119,83,294,247,180,232,340,281,217,248,434,99,131,129,193,283,187,166,194,202,155,11,125,502,79,219,2017
Total income from farm-related sources 1000,266869,8158,1037,3419,1172,5183,18070,1385,207,2534,7048,1778,1507,1486,22638,7339,18166,513,1276,3634,4683,4808,3438,1241,11176,8742,6833,10693,4667,9474,1794,4121,4668,6078,20000,5998,2357,10289,5201,8339,85,2873,17935,773,4050,2017
"Total farm production expenses,  $1,000",6651559,113125,11215,39772,27108,21806,409779,27096,2672,16472,142833,30414,30443,19430,521718,78732,818784,22098,7853,29529,365986,69458,122579,47327,645848,45591,270091,556812,28027,77288,24266,33831,168616,128439,315655,77466,28658,249199,147226,223064,787,38884,557701,8394,49488,2017
"Total farm production expenses, Average per farm dollars ",266105,86753,48340,52539,68627,75715,348155,142610,29689,13579,128794,87395,161075,128677,227924,191563,1399630,324975,25169,110595,1076431,88256,238945,55032,1200460,64394,360121,1145703,26120,74244,69133,171732,610927,282906,509122,173691,67910,441060,230041,756148,16396,140376,460529,44650,92500,2017
Net cash farm income of the operations farms,24996,1304,232,757,395,288,1177,190,90,1213,1109,348,189,151,2289,411,585,68,312,267,340,787,513,860,538,708,750,486,1073,1041,351,197,276,454,620,446,422,565,640,295,48,277,1211,188,535,2017
Net cash farm income of the operations 1000,1312355,27124,2514,7061,12128,4419,74752,2242,127,-3517,39256,3293,15119,7569,78139,22831,137190,5766,1390,10886,69297,20862,23201,-6070,151133,9888,35902,95515,-627,17224,11105,11000,40303,38576,63112,10168,14997,36833,26275,31334,-486,10194,144928,3004,6400,2017
Net cash farm income of the operations Average per farm dollars,52503,20801,10837,9327,30704,15342,63511,11801,1413,-2899,35398,9462,79994,50128,34137,55550,234513,84789,4455,40770,203815,26508,45226,-7059,280916,13966,47869,196532,-584,16545,31637,55839,146027,84969,101794,22799,35538,65190,41054,106216,-10131,36800,119676,15981,11963,2017
Livestock and poultry: Cattle and calves inventory farms ,10076,464,109,322,230,72,590,55,37,260,275,122,77,41,1025,171,283,33,102,142,167,331,144,423,291,376,329,221,366,180,180,59,165,180,259,137,184,320,293,90,27,94,559,70,221,2017
Livestock and poultry: Cattle and calves inventory number,2435137,52082,16516,20981,28175,973,97759,9641,2415,4100,58072,4914,9138,5813,137348,25146,283514,8134,2911,31167,169986,33532,13879,23111,318333,26185,84789,260419,5561,5530,34968,4641,76481,13738,42141,13007,23388,157193,57364,27520,260,6842,199003,7162,31305,2017
Livestock and poultry: Beef cows farms ,8149,350,83,272,191,71,455,53,35,219,223,108,64,35,836,145,220,32,86,130,121,233,123,323,208,331,244,136,318,144,164,54,124,149,214,111,166,252,232,76,23,92,452,58,193,2017
Livestock and poultry: Beef cows number,497984,7403,(D),12713,18911,617,41571,5908,1671,2407,15234,3036,(D),4219,16858,13695,28245,4647,1899,21589,16564,10050,8701,(D),9393,16314,17332,9230,3652,3489,22872,(D),6841,6466,5622,7859,15081,44443,10213,(D),135,4287,27319,(D),16129,2017
Livestock and poultry: Milk cows farms,785,22,2,19,26,6,52,-,-,16,4,17,1,-,70,7,29,-,4,7,9,70,6,12,50,31,37,41,27,18,6,1,22,11,21,5,-,23,27,1,3,12,59,1,10,2017
Livestock and poultry: Milk cows number,603817,17560,(D),883,1217,6,6960,-,-,68,456,25,(D),-,42345,1034,64627,-,5,780,27798,9043,793,(D),162866,359,12822,70038,40,232,14,(D),35434,217,15116,8,-,24646,14210,(D),9,292,89876,(D),12,2017
Livestock and poultry: Cattle and calves sold farms,8757,421,98,291,222,52,535,55,37,151,265,103,61,33,813,157,243,32,80,133,131,313,158,327,280,321,287,197,227,147,171,54,147,148,236,146,186,291,265,74,13,91,515,82,168,2017
Livestock and poultry: Cattle and calves sold number,1870607,40485,10235,13324,15724,491,65126,8009,1178,2366,43121,2867,6031,3911,76042,32155,315901,5831,1642,21016,146164,14374,13833,12884,121829,14985,55311,308434,2597,2888,22947,3512,42203,8952,19962,12581,14108,187046,45245,16686,94,3505,92588,8311,34113,2017
Livestock and poultry: Hogs and pigs inventory farms ,606,21,1,14,9,6,21,1,-,66,28,29,4,1,63,6,7,-,13,3,8,27,19,20,12,6,31,11,34,14,3,-,13,9,8,1,3,11,29,-,7,11,28,-,8,2017
Livestock and poultry: Hogs and pigs inventory number,35634,2106,(D),48,65,40,227,(D),-,293,252,177,108,(D),475,29,(D),-,42,47,95,309,70,92,75,(D),249,49,203,(D),21,-,77,621,58,(D),46,284,212,-,38,57,(D),-,50,2017
Livestock and poultry: Hogs and pigs sold farms ,699,21,2,23,10,7,35,4,-,79,35,28,4,1,56,3,12,-,8,6,6,29,22,27,12,13,37,9,51,34,1,-,4,10,9,4,7,13,35,-,4,9,16,5,8,2017
Livestock and poultry: Hogs and pigs sold number,105161,(D),(D),63,15,53,406,24,-,750,389,844,(D),(D),731,18,(D),-,40,38,193,1055,61,747,235,(D),286,89,360,(D),(D),-,(D),977,101,44,92,500,1209,-,26,36,(D),40,130,2017
Livestock and poultry: Sheep and lambs inventory farms,1447,103,8,48,26,19,67,12,1,103,63,13,8,2,208,10,15,2,15,15,33,31,25,52,27,17,35,25,67,77,23,3,23,9,48,20,18,30,33,1,3,6,62,7,34,2017
Livestock and poultry: Sheep and lambs inventory number,248289,1357,275,1550,6175,258,14083,(D),(D),1414,1794,1926,848,(D),12716,2186,8075,(D),103,741,535,664,(D),5771,14954,611,(D),3903,1221,1185,423,(D),1175,232,103660,786,305,4913,893,(D),12,6,8473,57,7452,2017
Livestock and poultry: Layers inventory farms,3579,303,28,91,37,34,136,14,19,335,166,47,14,15,433,61,46,-,48,25,70,67,39,150,39,91,86,44,268,149,58,6,34,41,50,64,31,52,106,10,8,36,138,6,84,2017
Livestock and poultry: Layers inventory number,472192,5156,316,2423,543,761,2673,226,377,(D),2823,970,284,301,25161,1088,(D),-,647,310,2306,(D),961,3134,831,2253,1344,891,4905,2677,923,65,705,637,502,812,303,807,3833,163,172,672,2742,83,2333,2017
Livestock and poultry: Broilers and other meat-type chickens sold farms,213,13,4,3,6,3,13,1,-,24,3,4,3,1,40,-,3,-,-,2,3,4,6,13,-,5,-,5,13,9,2,-,-,4,3,-,-,-,1,2,-,-,12,-,8,2017
Livestock and poultry: Broilers and other meat-type chickens sold number,17852,124,(D),30,6,85,653,(D),-,1752,70,624,15,(D),3705,-,52,-,-,(D),(D),53,72,541,-,132,-,110,245,379,(D),-,-,80,180,-,-,-,(D),(D),-,-,718,-,7460,2017
Selected crops harvested: Corn for grain farms,713,32,1,2,-,-,9,-,-,-,1,-,-,1,155,1,11,-,-,-,19,24,-,48,46,-,2,21,-,-,-,-,21,1,4,-,-,68,46,16,-,-,159,-,25,2017
Selected crops harvested: Corn for grain acres,143263,4844,(D),(D),-,-,2863,-,-,-,(D),-,-,(D),21012,(D),3364,-,-,-,15296,2318,-,3931,12533,-,(D),3608,-,-,-,-,5017,(D),(D),-,-,16476,5782,11643,-,-,18252,-,2256,2017
Selected crops harvested: Corn for grain bushels,27925762,1110024,(D),(D),-,-,503542,-,-,-,(D),-,-,(D),4129839,(D),654340,-,-,-,2945693,417191,-,767377,2449450,-,(D),815180,-,-,-,-,1077253,(D),(D),-,-,3441771,1286519,2227106,-,-,3604042,-,496412,2017
Selected crops harvested: Corn for silage or greenchop farms,1031,38,2,-,-,-,13,-,-,-,21,-,3,1,119,1,51,4,-,-,16,60,-,23,121,-,39,125,-,-,-,-,31,9,29,-,1,47,48,8,-,-,209,-,12,2017
Selected crops harvested: Corn for silage or greenchop acres,275136,11589,(D),-,-,-,2859,-,-,-,4220,-,251,(D),20293,(D),29456,1460,-,-,10775,5189,-,1802,56767,-,5168,40941,-,-,-,-,13522,586,8032,-,(D),11736,6064,1326,-,-,41625,-,525,2017
Selected crops harvested: Corn for silage or greenchop tons,8047967,339993,(D),-,-,-,66770,-,-,-,85477,-,5237,(D),613271,(D),820592,24459,-,-,326165,117896,-,47897,1739854,-,119671,1265247,-,-,-,-,403842,12119,233937,-,(D),351148,173127,35087,-,-,1223879,-,16265,2017
Selected crops harvested: Wheat for grain farms,2585,62,2,55,21,32,167,5,-,7,120,21,33,20,208,81,107,16,14,3,19,94,76,26,24,126,102,59,22,130,-,69,29,110,103,104,50,57,69,85,-,19,180,-,58,2017
Selected crops harvested: Wheat for grain acres,1182797,9009,(D),29492,10864,26256,135883,1418,-,507,49387,8378,9060,3686,31647,53628,70363,7273,7835,(D),19751,17560,38399,1665,3684,54470,43318,8233,11676,92720,-,54350,9138,46132,31969,105449,25323,9405,7047,115990,-,5158,19359,-,6730,2017
Selected crops harvested: Wheat for grain bushels,94183336,923576,(D),1560188,315768,1656938,15108312,107524,-,17918,3457894,623612,1040137,210882,3370626,2690553,6363251,804045,445590,(D),1931797,863381,2949938,159306,382375,3379419,4804249,993332,666235,5945976,-,3084711,875857,4468117,3101536,6951420,1001993,1075748,734091,9008741,-,322659,2254387,-,496864,2017
Selected crops harvested: Wheat for grain Durum wheat for grain farms,82,2,-,2,-,-,12,-,-,-,12,-,4,-,3,-,3,2,-,-,-,-,1,-,-,-,4,-,-,-,-,-,1,4,4,-,-,-,3,12,-,-,12,-,1,2017
Selected crops harvested: Wheat for grain Durum wheat for grain acres,23590,(D),-,(D),-,-,3784,-,-,-,3819,-,(D),-,48,-,588,(D),-,-,-,-,(D),-,-,-,(D),-,-,-,-,-,(D),(D),(D),-,-,-,42,5374,-,-,1681,-,(D),2017
Selected crops harvested: Wheat for grain Durum wheat for grain bushels,1914309,(D),-,(D),-,-,315970,-,-,-,165204,-,(D),-,5432,-,82302,(D),-,-,-,-,(D),-,-,-,(D),-,-,-,-,-,(D),(D),(D),-,-,-,4566,462727,-,-,158054,-,(D),2017
Selected crops harvested: Wheat for grain Other spring wheat for grain farms,1301,26,1,28,19,12,111,5,-,3,90,14,31,15,44,61,54,14,6,3,7,27,57,1,11,30,93,12,12,66,-,25,14,102,82,57,27,11,10,47,-,14,46,-,13,2017
Selected crops harvested: Wheat for grain Other spring wheat for grain  acres,438899,(D),(D),(D),(D),3690,47545,1418,-,123,25075,2428,7787,(D),4111,31609,26156,6583,2152,(D),2009,3197,30247,(D),1493,4644,33162,1916,2123,23274,-,5876,(D),40238,21087,16849,8877,1920,686,39989,-,3036,4527,-,(D),2017
Selected crops harvested: Wheat for grain Other spring wheat for grain  bushels,34495375,(D),(D),(D),(D),141923,5023409,107524,-,(D),1750399,136316,885337,(D),370236,1388945,2630047,729565,(D),(D),188964,147152,2137430,(D),137527,205899,3584776,196313,158256,1121593,-,257771,(D),3981530,2173527,752972,267649,209837,52743,3284608,-,224907,511509,-,(D),2017
Selected crops harvested: Wheat for grain Winter wheat for grain farms,1775,41,1,36,2,31,115,-,-,5,43,16,2,5,185,53,80,2,11,-,17,85,28,26,15,117,21,48,18,117,-,59,16,20,38,98,40,54,63,69,-,12,134,-,52,2017
Selected crops harvested: Wheat for grain Winter wheat for grain farms acres,720308,6308,(D),15672,(D),22566,84554,-,-,384,20493,5950,(D),(D),27488,22019,43619,(D),5683,-,17742,14363,(D),(D),2191,49826,(D),6317,9553,69446,-,48474,4456,(D),(D),88600,16446,7485,6319,70627,-,2122,13151,-,5751,2017
Selected crops harvested: Wheat for grain Winter wheat for grain farms bushels,57773652,702144,(D),1003812,(D),1515015,9768933,-,-,(D),1542291,487296,(D),(D),2994958,1301608,3650902,(D),(D),-,1742833,716229,(D),(D),244848,3173520,(D),797019,507979,4824383,-,2826940,467510,(D),(D),6198448,734344,865911,676782,5261406,-,97752,1584824,-,420924,2017
Selected crops harvested: Oats for grain farms,124,1,-,4,4,6,3,-,-,7,2,7,4,2,5,6,5,-,-,3,3,2,-,2,2,10,5,2,2,3,-,3,3,3,2,6,7,-,-,-,-,4,3,2,1,2017
Selected crops harvested: Oats for grain acres,10416,(D),-,52,364,192,32,-,-,211,(D),605,347,(D),179,706,290,-,-,435,(D),(D),-,(D),(D),504,77,(D),(D),90,-,348,(D),28,(D),1056,320,-,-,-,-,496,123,(D),(D),2017
Selected crops harvested: Oats for grain  bushels,661344,(D),-,4150,21938,12000,2393,-,-,9355,(D),33041,22172,(D),19900,64361,20788,-,-,28524,(D),(D),-,(D),(D),24986,6092,(D),(D),5400,-,22382,(D),1802,(D),46139,23400,-,-,-,-,38529,13100,(D),(D),2017
Selected crops harvested: Barley for grain farms,1669,15,-,38,49,12,80,19,-,13,133,10,45,39,20,68,55,4,3,16,-,92,114,3,12,54,107,49,3,25,2,20,18,92,129,28,22,6,2,15,-,69,170,-,18,2017
Selected crops harvested: Barley for grain acres,524307,690,-,6553,8369,1808,19764,8205,-,206,68414,2333,11726,8836,719,55247,33937,2615,(D),3283,-,5870,58565,543,1579,7228,40084,13297,(D),6028,(D),3882,2935,37668,47296,6116,994,707,(D),3476,-,28706,24825,-,933,2017
Selected crops harvested: Barley for grain bushels,50452071,70686,-,497661,595625,70061,2336235,885940,-,8502,6693189,125718,1157508,391952,45612,3538789,4445401,335759,(D),340015,-,415587,5224941,65129,127293,283709,4042152,1803055,(D),249526,(D),177406,348117,3710296,6250558,361312,57770,83002,(D),231839,-,2381571,2983634,-,64797,2017
Selected crops harvested: Sorghum for grain farms,6,1,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2017
Selected crops harvested: Sorghum for grain acres,469,(D),-,-,-,-,-,-,-,-,-,-,-,-,(D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(D),-,-,-,-,-,-,-,2017
Selected crops harvested: Sorghum for grain bushels,43610,(D),-,-,-,-,-,-,-,-,-,-,-,-,(D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(D),-,-,-,-,-,-,-,2017
Selected crops harvested: Sorghum for silage or greenchop farms,21,-,-,-,-,-,-,-,-,-,-,-,-,-,4,2,4,-,-,-,-,5,-,-,4,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017
Selected crops harvested: Sorghum for silage or greenchop acres,1559,-,-,-,-,-,-,-,-,-,-,-,-,-,295,(D),150,-,-,-,-,228,-,-,440,-,-,(D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017
Selected crops harvested: Sorghum for silage or greenchop tons,22489,-,-,-,-,-,-,-,-,-,-,-,-,-,3419,(D),1890,-,-,-,-,1050,-,-,6370,-,-,(D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017
Selected crops harvested: Soybeans for beans farms,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017
Selected crops harvested: Soybeans for beans acres,(D),(D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017
Selected crops harvested: Soybeans for beans bushels,(D),(D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017
"Selected crops harvested:  Dry edible beans, excluding chickpeas and limas farms",506,9,-,-,-,1,-,-,-,-,-,-,-,1,111,-,37,-,-,-,6,1,-,-,7,-,-,45,2,-,-,7,2,-,29,5,-,20,11,-,-,-,206,-,6,2017
"Selected crops harvested:  Dry edible beans, excluding chickpeas and limas acres",69020,576,-,-,-,(D),-,-,-,-,-,-,-,(D),9734,-,10363,-,-,-,3013,(D),-,-,763,-,-,8285,(D),-,-,3262,(D),-,4471,1661,-,2370,1121,-,-,-,20794,-,1392,2017
"Selected crops harvested:  Dry edible beans, excluding chickpeas and limas cwt",1757790,18468,-,-,-,(D),-,-,-,-,-,-,-,(D),241173,-,262329,-,-,-,74460,(D),-,-,17088,-,-,234368,(D),-,-,72976,(D),-,107469,30448,-,62028,32818,-,-,-,545300,-,36348,2017
"Selected crops harvested:  Forage - land used for all hay and haylage, grass silage, and greenchop farms",12276,669,117,342,259,127,536,125,37,529,529,164,146,99,961,192,309,31,145,169,154,457,228,388,282,373,436,258,455,451,199,71,185,217,296,165,234,318,305,97,23,149,668,54,327,2017
"Selected crops harvested:  Forage - land used for all hay and haylage, grass silage, and greenchop acres",1509295,24002,14866,34951,62726,13919,92724,28148,892,21602,28922,15902,47224,67526,49359,27834,75712,23190,7654,32876,45846,50308,22221,12482,38002,34545,81980,36430,23834,40878,40017,7447,38061,18808,48697,14538,33830,70803,18941,11291,512,26927,84037,2787,36044,2017
"Selected crops harvested:  Forage - land used for all hay and haylage, grass silage, and greenchop tons, dry equivalent",5833186,111597,36727,93639,153219,36068,422185,101168,2767,27587,113664,43223,178863,113645,233977,75349,373316,129475,11569,99824,223900,159833,78192,45996,224848,62989,397938,225063,60077,101446,114643,16439,181887,72046,250678,31038,96131,336361,97756,46546,548,69820,455352,4774,121023,2017
"Selected crops harvested:  Sunflower seed, all farms",3,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,2017
"Selected crops harvested:  Sunflower seed, all acres",(D),-,-,-,-,-,-,-,-,-,-,(D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(D),-,(D),-,-,-,-,-,-,-,2017
"Selected crops harvested:  Sunflower seed, all pounds",454518,-,-,-,-,-,-,-,-,-,-,(D),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,(D),-,(D),-,-,-,-,-,-,-,2017
Selected crops harvested: Sugar beets for sugar farms,460,9,-,-,-,-,28,-,-,-,-,-,-,-,81,-,67,-,-,-,11,-,-,6,5,-,-,31,-,-,-,-,11,-,110,-,-,14,20,21,-,-,32,-,14,2017
Selected crops harvested: Sugar beets for sugar acres,168376,1497,-,-,-,-,21872,-,-,-,-,-,-,-,10862,-,32764,-,-,-,9252,-,-,598,772,-,-,8859,-,-,-,-,3121,-,50351,-,-,2455,2729,15234,-,-,7165,-,845,2017
